KODJAZ,AKRCIS,KODCIS,CHODNOTA,ZKRTEXT,TEXT,ADMPLOD,ADMNEPO,KODRSO
"CS","OKRES_LAU",109,"CZ0646","Vyškov","Vyškov","01.01.2008","09.09.9999",40754
"CS","OKRES_LAU",109,"CZ0647","Znojmo","Znojmo","01.01.2008","09.09.9999",40762
"CS","OKRES_LAU",109,"CZ0711","Jeseník","Jeseník","01.01.2008","09.09.9999",40771
"CS","OKRES_LAU",109,"CZ0712","Olomouc","Olomouc","01.01.2008","09.09.9999",40789
"CS","OKRES_LAU",109,"CZ0713","Prostějov","Prostějov","01.01.2008","09.09.9999",40797
"CS","OKRES_LAU",109,"CZ0714","Přerov","Přerov","01.01.2008","09.09.9999",40801
"CS","OKRES_LAU",109,"CZ0715","Šumperk","Šumperk","01.01.2008","09.09.9999",40819
"CS","OKRES_LAU",109,"CZ0721","Kroměříž","Kroměříž","01.01.2008","09.09.9999",40827
"CS","OKRES_LAU",109,"CZ0722","Uherské Hradiště","Uherské Hradiště","01.01.2008","09.09.9999",40835
"CS","OKRES_LAU",109,"CZ0723","Vsetín","Vsetín","01.01.2008","09.09.9999",40843
"CS","OKRES_LAU",109,"CZ0724","Zlín","Zlín","01.01.2008","09.09.9999",40851
"CS","OKRES_LAU",109,"CZ0801","Bruntál","Bruntál","01.01.2008","09.09.9999",40860
"CS","OKRES_LAU",109,"CZ0802","Frýdek-Místek","Frýdek-Místek","01.01.2008","09.09.9999",40878
"CS","OKRES_LAU",109,"CZ0803","Karviná","Karviná","01.01.2008","09.09.9999",40886
"CS","OKRES_LAU",109,"CZ0804","Nový Jičín","Nový Jičín","01.01.2008","09.09.9999",40894
"CS","OKRES_LAU",109,"CZ0805","Opava","Opava","01.01.2008","09.09.9999",40908
"CS","OKRES_LAU",109,"CZ0806","Ostrava-město","Ostrava-město","01.01.2008","09.09.9999",40916
"CS","OKRES_LAU",109,"CZZZZZ","Extra-Regio","Extra-Regio","01.01.2008","09.09.9999",40002

