KODJAZ,AKRCIS,KODCIS,CHODNOTA,ZKRTEXT,TEXT,ADMPLOD,ADMNEPO,MIN_TUPY,MAX_TUPY,MIN_OSTRY,MAX_OSTRY,EXPORT_DWH
"CS","INTERVAL",7700,"431995431999000","<1 995; 1 999>","1 995 až 1 999 (více nebo rovno 1 995 a méně nebo rovno 1 999)","01.01.1900","09.09.9999",,,1995,1999,
"CS","INTERVAL",7700,"431995632000000","<1 995; 2 000)","1 995 až 2 000 (více nebo rovno 1 995 a méně než 2 000)","01.01.1900","09.09.9999",,2000,1995,,
"CS","INTERVAL",7700,"431996431996000","<1 996; 1 996>","1 996","01.01.1900","09.09.9999",,,1996,1996,
"CS","INTERVAL",7700,"431996799999000","<1 996; N)","Od 1 996 (více nebo rovno 1 996)","01.01.1900","09.09.9999",,99999999999999999999,1996,,
"CS","INTERVAL",7700,"431997431997000","<1 997; 1 997>","1 997","01.01.1900","09.09.9999",,,1997,1997,
"CS","INTERVAL",7700,"431998431998000","<1 998; 1 998>","1 998","01.01.1900","09.09.9999",,,1998,1998,
"CS","INTERVAL",7700,"431999431999000","<1 999; 1 999>","1 999","01.01.1900","09.09.9999",,,1999,1999,
"CS","INTERVAL",7700,"432000432000000","<2 000; 2 000>","2 000","01.01.1900","09.09.9999",,,2000,2000,
"CS","INTERVAL",7700,"432000432004000","<2 000; 2 004>","2 000 až 2 004 (více nebo rovno 2 000 a méně nebo rovno 2 004)","01.01.1900","09.09.9999",,,2000,2004,
"CS","INTERVAL",7700,"432000432009000","<2 000; 2 009>","2 000 až 2 009 (více nebo rovno 2 000 a méně nebo rovno 2 009)","01.01.1900","09.09.9999",,,2000,2009,
"CS","INTERVAL",7700,"432000632005000","<2 000; 2005)","2 000 až 2 005 (více nebo rovno 2 000 a méně než 2 005)","01.01.1900","09.09.9999",,2005,2000,,
"CS","INTERVAL",7700,"432000632500000","<2 000; 2 500)","2 000 až 2 500 (více nebo rovno 2 000 a méně než 2 500)","01.01.1900","09.09.9999",,2500,2000,,"A"
"CS","INTERVAL",7700,"432000633000000","<2 000; 3 000)","2 000 až 3 000 (více nebo rovno 2 000 a méně než 3 000)","01.01.1900","09.09.9999",,3000,2000,,
"CS","INTERVAL",7700,"432000634000000","<2 000; 4 000)","2 000 až 4 000 (více nebo rovno 2 000 a méně než 4 000)","01.01.1900","09.09.9999",,4000,2000,,
"CS","INTERVAL",7700,"432000635000000","<2 000; 5 000)","2 000 až 5 000 (více nebo rovno 2 000 a méně než 5 000)","01.01.1900","09.09.9999",,5000,2000,,
"CS","INTERVAL",7700,"432000641000000","<2 000; 10 000)","2 000 až 10 000 (více nebo rovno 2 000 a méně než 10 000)","01.01.1900","09.09.9999",,10000,2000,,
"CS","INTERVAL",7700,"432000799999000","<2 000; N)","Od 2 000 (více nebo rovno 2 000)","01.01.1900","09.09.9999",,99999999999999999999,2000,,
"CS","INTERVAL",7700,"432001432001000","<2 001; 2 001>","2 001","01.01.1900","09.09.9999",,,2001,2001,
"CS","INTERVAL",7700,"432001432010000","<2 001; 2 010>","2 001 až 2 010 (více nebo rovno 2 001 a méně nebo rovno 2 010)","01.01.1900","09.09.9999",,,2001,2010,
"CS","INTERVAL",7700,"432001632011000","<2 001; 2 011)","2 001 až 2 011 (více nebo rovno 2 001 a méně než 2 011)","01.01.1900","09.09.9999",,2011,2001,,
"CS","INTERVAL",7700,"432002432002000","<2 002; 2 002>","2 002","01.01.1900","09.09.9999",,,2002,2002,
"CS","INTERVAL",7700,"432003432003000","<2 003; 2 003>","2 003","01.01.1900","09.09.9999",,,2003,2003,
"CS","INTERVAL",7700,"432004432004000","<2 004; 2 004>","2 004","01.01.1900","09.09.9999",,,2004,2004,
"CS","INTERVAL",7700,"432004432006000","<2 004; 2 006>","2 004 až 2 006 (více nebo rovno 2 004 a méně nebo rovno 2 006)","01.01.1900","09.09.9999",,,2004,2006,
