count,kraj,vek
305,CZ032,85
354,CZ072,85
656,CZ080,85
264,CZ071,85
504,CZ010,85
633,CZ020,85
521,CZ010,86
309,CZ072,86
565,CZ080,86
350,CZ031,86
296,CZ063,86
288,CZ032,86
355,CZ042,86
355,CZ052,86
211,CZ051,86
546,CZ064,86
641,CZ020,86
292,CZ071,86
159,CZ041,86
296,CZ053,86
531,CZ020,87
288,CZ072,87
536,CZ080,87
187,CZ051,87
512,CZ064,87
274,CZ053,87
278,CZ032,87
321,CZ031,87
282,CZ042,87
553,CZ010,87
272,CZ071,87
316,CZ052,87
137,CZ041,87
280,CZ063,87
552,CZ020,88
240,CZ053,88
491,CZ064,88
193,CZ051,88
240,CZ032,88
322,CZ052,88
499,CZ010,88
489,CZ080,88
306,CZ031,88
226,CZ071,88
264,CZ063,88
129,CZ041,88
301,CZ042,88
267,CZ072,88
222,CZ042,89
151,CZ051,89
421,CZ064,89
104,CZ041,89
211,CZ063,89
485,CZ020,89
216,CZ071,89
229,CZ032,89
471,CZ010,89
234,CZ053,89
440,CZ080,89
280,CZ031,89
243,CZ072,89
305,CZ052,89
256,CZ052,90
194,CZ032,90
495,CZ010,90
386,CZ020,90
194,CZ042,90
198,CZ072,90
187,CZ053,90
367,CZ080,90
186,CZ063,90
150,CZ051,90
398,CZ064,90
188,CZ071,90
102,CZ041,90
220,CZ031,90
171,CZ071,91
183,CZ031,91
384,CZ010,91
231,CZ052,91
69,CZ041,91
168,CZ072,91
309,CZ064,91
157,CZ032,91
356,CZ020,91
342,CZ080,91
133,CZ063,91
162,CZ042,91
170,CZ053,91
126,CZ051,91
167,CZ052,92
128,CZ031,92
123,CZ042,92
101,CZ071,92
215,CZ080,92
114,CZ072,92
285,CZ020,92
127,CZ063,92
115,CZ032,92
306,CZ010,92
87,CZ051,92
71,CZ041,92
251,CZ064,92
133,CZ053,92
89,CZ053,93
82,CZ032,93
116,CZ072,93
207,CZ080,93
118,CZ031,93
67,CZ051,93
139,CZ052,93
215,CZ020,93
103,CZ071,93
104,CZ042,93
88,CZ063,93
53,CZ041,93
252,CZ010,93
229,CZ064,93
164,CZ064,94
240,CZ010,94
74,CZ071,94
69,CZ063,94
82,CZ072,94
95,CZ052,94
83,CZ031,94
142,CZ080,94
49,CZ051,94
39,CZ041,94
132,CZ020,94
98,CZ042,94
58,CZ053,94
82,CZ032,94
39,CZ063,95
177,CZ010,95
112,CZ064,95
113,CZ020,95
59,CZ071,95
60,CZ031,95
59,CZ053,95
73,CZ052,95
102,CZ080,95
55,CZ042,95
55,CZ072,95
36,CZ051,95
41,CZ032,95
24,CZ041,95
89,CZ064,96
123,CZ010,96
25,CZ071,96
59,CZ052,96
47,CZ042,96
12,CZ041,96
74,CZ080,96
33,CZ063,96
40,CZ072,96
90,CZ020,96
44,CZ053,96
27,CZ051,96
42,CZ031,96
42,CZ032,96
19,CZ041,97
23,CZ032,97
22,CZ072,97
29,CZ052,97
35,CZ042,97
18,CZ071,97
26,CZ053,97
59,CZ020,97
89,CZ010,97
57,CZ080,97
24,CZ031,97
24,CZ051,97
26,CZ063,97
40,CZ064,97
35,CZ020,98
72,CZ010,98
13,CZ063,98
44,CZ064,98
17,CZ072,98
16,CZ071,98
8,CZ041,98
16,CZ042,98
11,CZ032,98
13,CZ051,98
27,CZ052,98
37,CZ080,98
21,CZ053,98
20,CZ031,98
8,CZ063,99
16,CZ072,99
12,CZ031,99
33,CZ020,99
21,CZ080,99
9,CZ053,99
27,CZ064,99
10,CZ042,99
38,CZ010,99
1,CZ041,99
9,CZ032,99
10,CZ071,99
10,CZ051,99
14,CZ052,99
17,CZ020,100
3,CZ041,100
5,CZ053,100
11,CZ064,100
5,CZ071,100
8,CZ063,100
7,CZ072,100
10,CZ052,100
4,CZ042,100
5,CZ032,100
9,CZ031,100
13,CZ080,100
63,CZ010,100
4,CZ051,100
4,CZ063,101
1,CZ051,101
4,CZ052,101
7,CZ080,101
5,CZ031,101
15,CZ010,101
4,CZ064,101
1,CZ053,101
4,CZ020,101
6,CZ071,101
2,CZ041,101
1,CZ042,101
3,CZ072,101
4,CZ032,101
1,CZ020,102
1,CZ051,102
3,CZ041,102
2,CZ071,102
